id;serial_number;model;weight_limit;battery_capacity;state
1;violet incentivize;LIGHTWEIGHT;205;22;DELIVERED
2;Station Rustic Concrete Hat benchmark;HEAVYWEIGHT;428;99;LOADED
3;Representative Iraq circuit;LIGHTWEIGHT;148;91;RETURNING
4;Tasty purple wireless;LIGHTWEIGHT;484;14;IDLE
5;Horizontal Personal Loan Account Comoro Franc;LIGHTWEIGHT;359;16;LOADING
6;Namibia;HEAVYWEIGHT;430;90;DELIVERING
7;SDD Gorgeous Steel Computer;CRUISEWEIGHT;347;12;IDLE
8;Viaduct;LIGHTWEIGHT;200;47;IDLE
9;Sleek Granite Salad SAS pixel;CRUISEWEIGHT;141;23;LOADED
10;Designer;MIDDLEWEIGHT;175;0;DELIVERED
