id;name;weight;code;image;image_content_type
1;"nWR-GPH";12115;"4";../fake-data/blob/hipster.png;image/png
2;"UN,MBMF";21695;"8Z7R";../fake-data/blob/hipster.png;image/png
3;"|XDHVC";71611;"FT";../fake-data/blob/hipster.png;image/png
4;"_dVWQY";45231;"E9H";../fake-data/blob/hipster.png;image/png
5;"_wFX";8243;"C";../fake-data/blob/hipster.png;image/png
6;"_>EWBWL";29001;"T8X";../fake-data/blob/hipster.png;image/png
7;"AzVHYSQR";71536;"SGK";../fake-data/blob/hipster.png;image/png
8;"AYER";44024;"O0";../fake-data/blob/hipster.png;image/png
9;"NST";20663;"K-";../fake-data/blob/hipster.png;image/png
10;"ZkHL,Z";13526;"3LBR-0";../fake-data/blob/hipster.png;image/png
